policyId,typeId,premium
P1,T1,5000
P2,T2,7000
P3,T3,6000
P4,T4,8000
P5,T1,5500
P6,T2,7200
P7,T3,6100
P8,T4,8200
P9,T1,5300
P10,T2,7100
P11,T3,6200
P12,T4,8300
P13,T1,5400
P14,T2,7300
P15,T3,6400
P16,T4,8500
P17,T1,5600
P18,T2,7400
P19,T3,6500
P20,T4,8600
P21,T1,5700
P22,T2,7500
P23,T3,6600
P24,T4,8700
P25,T1,5800
P26,T2,7600
P27,T3,6700
P28,T4,8800
P29,T1,5900
P30,T2,7700
P31,T3,6800
P32,T4,8900
P33,T1,6000
P34,T2,7800
P35,T3,6900
P36,T4,9000
P37,T1,6100
P38,T2,7900
P39,T3,7000
P40,T4,9100
P41,T5,15000
P42,T6,20000
P43,T7,18000
P44,T8,22000
P45,T5,15500
P46,T6,20500
P47,T7,18500
P48,T8,22500
P49,T5,16000
P50,T6,21000
P51,T7,19000
P52,T8,23000
P53,T5,16500
P54,T6,21500
P55,T7,19500
P56,T8,23500
P57,T5,17000
P58,T6,22000
P59,T7,20000
P60,T8,24000
